json_angle, json_cte, steer_pid, steer_p_error, steer_i_error, steer_d_error
0,0.7598,-0.820584,0.7598,0.7598,0.7598,
0,0.7598,-0.060784,0.7598,1.5196,0,
-20.0783,0.7598,-0.060784,0.7598,2.2794,0,
-1.0833,0.7598,-0.060784,0.7598,3.0392,0,
-1.0833,0.7598,-0.060784,0.7598,3.799,0,
-1.0833,0.7599,-0.060892,0.7599,4.5589,0.0001,
-1.0833,0.7595,-0.06036,0.7595,5.3184,-0.0004,
-1.086,0.759,-0.06022,0.759,6.0774,-0.0005,
-1.0727,0.7582,-0.059856,0.7582,6.8356,-0.0008,
-1.0692,0.7571,-0.059468,0.7571,7.5927,-0.0011,
-1.0601,0.7561,-0.059488,0.7561,8.3488,-0.001,
-1.0504,0.7544,-0.058652,0.7544,9.1032,-0.0017,
-1.0509,0.7524,-0.058192,0.7524,9.8556,-0.002,
-1.03,0.7505,-0.05814,0.7505,10.6061,-0.0019,
-1.0185,0.7474,-0.056692,0.7474,11.3535,-0.0031,
-1.0172,0.7438,-0.055904,0.7438,12.0973,-0.0036,
-0.981,0.7393,-0.054644,0.7393,12.8366,-0.0045,
-0.9613,0.7354,-0.054932,0.7354,13.572,-0.0039,
-0.9298,0.731,-0.05408,0.731,14.303,-0.0044,
-0.937,0.7259,-0.052972,0.7259,15.0289,-0.0051,
-0.9157,0.718,-0.04954,0.718,15.7469,-0.0079,
-0.888,0.7088,-0.047504,0.7088,16.4557,-0.0092,
-0.8022,0.701,-0.04828,0.701,17.1567,-0.0078,
-0.7513,0.6893,-0.043444,0.6893,17.846,-0.0117,
-0.7707,0.6761,-0.040888,0.6761,18.5221,-0.0132,
-0.6498,0.6651,-0.042208,0.6651,19.1872,-0.011,
-0.5859,0.6568,-0.044244,0.6568,19.844,-0.0083,
-0.6189,0.6564,-0.052112,0.6564,20.5004,-0.0004,
-0.6698,0.6531,-0.048948,0.6531,21.1535,-0.0033,
-0.8665,0.6575,-0.057,0.6575,21.811,0.0044,
-0.7874,0.6654,-0.061132,0.6654,22.4764,0.0079,
-0.9887,0.6719,-0.060252,0.6719,23.1483,0.0065,
-1.092,0.6753,-0.057424,0.6753,23.8236,0.0034,
-1.07,0.6777,-0.056616,0.6777,24.5013,0.0024,
-0.9993,0.6777,-0.054216,0.6777,25.179,0,
-0.9791,0.6759,-0.052272,0.6759,25.8549,-0.0018,
-0.9191,0.6726,-0.050508,0.6726,26.5275,-0.0033,
-0.8705,0.6655,-0.04614,0.6655,27.193,-0.0071,
-0.8264,0.6554,-0.042332,0.6554,27.8484,-0.0101,
-0.7172,0.6457,-0.041956,0.6457,28.4941,-0.0097,
-0.622,0.6344,-0.039452,0.6344,29.1285,-0.0113,
-0.6126,0.6166,-0.031528,0.6166,29.7451,-0.0178,
-0.55,0.5955,-0.02654,0.5955,30.3406,-0.0211,
-0.3519,0.5717,-0.021936,0.5717,30.9123,-0.0238,
-0.2272,0.5455,-0.01744,0.5455,31.4578,-0.0262,
-0.1121,0.5245,-0.02096,0.5245,31.9823,-0.021,
0.0003,0.4952,-0.010316,0.4952,32.4775,-0.0293,
-0.0877,0.4722,-0.014776,0.4722,32.9497,-0.023,
0.1784,0.4409,-0.003972,0.4409,33.3906,-0.0313,
0.0669,0.4089,-0.000712,0.4089,33.7995,-0.032,
0.337,0.3769,0.001848,0.3769,34.1764,-0.032,
0.4185,0.3536,-0.004988,0.3536,34.53,-0.0233,
0.4825,0.3239,0.003788,0.3239,34.8539,-0.0297,
0.3116,0.2959,0.004328,0.2959,35.1498,-0.028,
0.531,0.2701,0.004192,0.2701,35.4199,-0.0258,
0.5445,0.2641,-0.015128,0.2641,35.684,-0.006,
0.5411,0.2834,-0.041972,0.2834,35.9674,0.0193,
0.0581,0.3273,-0.070084,0.3273,36.2947,0.0439,
-0.613,0.3721,-0.074568,0.3721,36.6668,0.0448,
-1.3158,0.4035,-0.06368,0.4035,37.0703,0.0314,
-1.4279,0.4396,-0.071268,0.4396,37.5099,0.0361,
-1.1557,0.468,-0.06584,0.468,37.9779,0.0284,
-1.3454,0.4833,-0.053964,0.4833,38.4612,0.0153,
-1.2097,0.4945,-0.05076,0.4945,38.9557,0.0112,
-0.9128,0.4951,-0.040208,0.4951,39.4508,0.0006,
-0.8327,0.4852,-0.028916,0.4852,39.936,-0.0099,
-0.5689,0.4711,-0.023588,0.4711,40.4071,-0.0141,
-0.2866,0.4447,-0.009176,0.4447,40.8518,-0.0264,
-0.1534,0.4109,0.000928,0.4109,41.2627,-0.0338,
0.2069,0.3819,-0.001552,0.3819,41.6446,-0.029,
0.4595,0.3513,0.002496,0.3513,41.9959,-0.0306,
0.3975,0.3092,0.017364,0.3092,42.3051,-0.0421,
0.4987,0.2682,0.019544,0.2682,42.5733,-0.041,
0.8704,0.2613,-0.014004,0.2613,42.8346,-0.0069,
